Player,Runs,Ave,SR,Fours,Sixes,HF
David Warner,692,69.2,143.86,57,21,10
KLRahul,593,53.9,135.38,49,25,10
Quinton de Kock,529,35.26,132.91,45,25,4
Shikhar Dhawan,521,34.73,135.67,64,11,5
Andre Russell,510,56.66,204.81,31,52,4
ChrisGayle,490,40.83,153.6,45,34,4
Rishabh Pant,488,37.53,162.66,37,27,3
Virat Kohli,464,33.14,141.46,46,13,4
Shreyas Iyer,463,30.86,119.94,41,14,3
Jonny Bairstow,445,55.62,157.24,48,18,4
AB de Villiers,442,44.2,154.0,31,26,5
SuryakumarYadav,424,32.61,130.86,45,10,2
MS Dhoni,416,83.2,134.62,22,23,3
Chris Lynn,405,31.15,139.65,41,22,4
Rohit Sharma,405,28.92,128.57,52,10,2
Hardik Pandya,402,44.66,191.42,28,29,1
Shane Watson,398,23.41,127.56,42,20,3
Faf du Plessis,396,36.0,123.36,36,15,3
Ajinkya Rahane,393,32.75,137.89,45,9,2
Suresh Raina,383,23.93,121.97,45,9,3
Parthiv Patel,373,26.64,139.17,48,10,2
Prithvi Shaw,353,22.06,133.71,45,9,2
Manish Pandey,344,43.0,130.79,34,6,3
Nitish Rana,344,34.4,146.38,27,21,3
Sanju Samson,342,34.2,148.69,28,13,2
Mayank Agarwal,332,25.53,141.88,26,14,2
Steve Smith,319,39.87,116.0,30,4,3
Jos Buttler,311,38.87,151.7,38,14,3
Shubman Gill,296,32.88,124.36,21,10,3
Ambati Rayudu,282,23.5,93.06,20,7,1
Robin Uthappa,282,31.33,115.1,28,10,1
Kieron Pollard,279,34.87,156.74,14,22,1
Dinesh Karthik,253,31.62,146.24,22,14,2
Vijay Shankar,244,20.33,126.42,11,12,0
Moeen Ali,220,27.5,165.41,16,17,2
David Miller,213,26.62,129.87,19,7,1
Marcus Stoinis,211,52.75,135.25,14,10,0
Colin Ingram,184,18.4,119.48,20,5,0
Krunal Pandya,183,16.63,150.0,18,5,0
Sarfaraz Khan,180,45.0,125.87,19,4,1
Nicholas Pooran,168,28.0,157.0,10,14,0
Mandeep Singh,165,41.25,137.5,10,4,0
Kedar Jadhav,162,18.0,95.85,19,3,1
Riyan Parag,160,32.0,126.98,17,5,1
Kane Williamson,156,22.28,130.0,12,5,1
Sunil Narine,143,17.87,166.27,17,9,0
Rahul Tripathi,141,23.5,119.49,13,2,1
Ben Stokes,123,20.5,124.24,8,4,0
Mohammad Nabi,115,19.16,151.31,8,7,0
Axar Patel,110,18.33,125.0,10,3,0
Ravindra Jadeja,106,35.33,120.45,7,4,0
Ishan Kishan,101,16.83,101.0,8,4,0
Yuvraj Singh,98,24.5,130.66,7,6,1
Gurkeerat Mann Singh,98,32.66,140.0,11,2,1
Sam Curran,95,23.75,172.72,13,3,1
Shimron Hetmyer,90,18.0,123.28,4,7,1
Wriddhiman Saha,86,17.2,162.26,13,1,0
Colin Munro,84,21.0,120.0,9,4,0
Martin Guptill,81,27.0,152.83,4,7,0
Dwayne Bravo,80,16.0,121.21,6,3,0
Sherfane Rutherford,73,14.6,135.18,2,7,0
Liam Livingstone,71,23.66,147.91,6,5,0
Stuart Binny,70,23.33,175.0,5,4,0
Jofra Archer,67,33.5,167.5,4,4,0
Deepak Hooda,64,10.66,101.58,5,1,0
Murali Vijay,64,32.0,104.91,6,1,0
Shreyas Gopal,63,15.75,136.95,8,1,0
Akshdeep Nath,61,12.2,107.01,5,2,0
Evin Lewis,48,16.0,92.3,4,2,0
Colin de Grandhomme,46,15.33,93.87,4,2,0
Piyush Chawla,42,14.0,113.51,4,2,0
Ravichandran Ashwin,42,8.4,150.0,3,3,0
Shivam Dube,40,13.33,121.21,1,3,0
Yusuf Pathan,40,13.33,88.88,1,1,0
Rinku Singh,37,18.5,108.82,1,2,0
Rashid Khan,34,6.8,147.82,2,2,0
Chris Morris,32,5.33,86.48,1,2,0
Mitchell Santner,32,32.0,139.13,0,3,0
Rahul Tewatia,26,26.0,118.18,2,1,0
Umesh Yadav,25,12.5,100.0,3,1,0
Amit Mishra,21,10.5,87.5,2,0,0
Harpreet Brar,20,20.0,166.66,2,1,0
Prayas Ray Barman,19,19.0,79.16,2,0,0
Keemo Paul,18,3.6,75.0,1,1,0
Ben Cutting,18,9.0,105.88,1,1,0
Krishnappa Gowtham,18,6.0,94.73,1,1,0
Simran Singh,16,16.0,94.11,1,1,0
Alzarri Joseph,15,15.0,115.38,2,0,0
Siddhesh Lad,15,15.0,115.38,1,1,0
Shardul Thakur,14,7.0,200.0,1,1,0
Kagiso Rabada,14,4.66,93.33,0,1,0
Bhuvneshwar Kumar,12,4.0,63.15,1,0,0
Kuldeep Yadav,12,6.0,150.0,1,0,0
Rahul Chahar,12,6.0,109.09,2,0,0
Mitchell McClenaghan,11,3.66,68.75,2,0,0
Carlos Brathwaite,11,5.5,110.0,1,0,0
Ishant Sharma,10,10.0,333.33,1,1,0
Shakib Al Hasan,9,9.0,90.0,0,0,0
Pawan Negi,9,2.25,75.0,1,0,0
Tim Southee,9,9.0,100.0,0,0,0
